name,quantity,protein,carbs,sugars,cholesterol,fiber,fat,calories
Plantains/ cooked,0,0.79,31.15,14,0,2.3,0.2,116
Burdock root/ raw,0,1.53,17.34,2.9,0,3.3,0.2,72
Butterbur/ canned,0,0.11,0.38,0,0,0,0.1,3
Ostrich/ raw/ fan,0,21.81,0,0,73,0,2.7,117
SILK Nog/ soymilk,0,2.46,12.3,9.84,0,0,1.6,74
Gravy/ dry/ brown,0,10.74,59.38,0,3,2,9.6,367
Cheese/ provolone,0,25.58,2.14,0.56,69,0,27,351
Cheese/ roquefort,0,21.54,2,0,90,0,31,369
Muffins/ oat bran,0,7,48.3,8.22,0,4.6,7.4,270
Syrups/ grenadine,0,0,66.91,46.55,0,0,0,268
Raisins/ seedless,0,3.07,79.18,59.19,0,3.7,0.5,299
Strawberries/ raw,0,0.67,7.68,4.89,0,2,0.3,32
Fish/ raw/ burbot,0,19.31,0,0,60,0,0.8,90
Wheat germ/ crude,0,23.15,51.8,0,0,13.2,9.7,360
Wheat/ hard white,0,11.31,75.9,0.41,0,12.2,1.7,342
Wheat bran/ crude,0,15.55,64.51,0.41,0,42.8,4.3,216
Gooseberries/ raw,0,0.88,10.18,0,0,4.3,0.6,44
Spices/ dill seed,0,15.98,55.17,0,0,21.1,15,305
Oil/ cocoa butter,0,0,0,0,0,0,100,884
APPLEBEE'S/ chili,0,12.56,4.57,2.27,45,1.4,9.8,157
Grape leaves/ raw,0,5.6,17.31,6.3,0,11,2.1,93
Kale/ raw/ scotch,0,2.8,8.32,0,0,1.7,0.6,42
Marmalade/ orange,0,0.3,66.3,60,0,0.7,0,246
Whey/ dried/ acid,0,11.73,73.45,73.45,3,0,0.5,339
Whey/ fluid/ acid,0,0.76,5.12,5.12,1,0,0.1,24
Eggplant/ pickled,0,0.9,9.77,4.8,0,2.5,0.7,49
Babyfood/ cookies,0,11.8,67.1,24.2,12,0.2,13,433
Fennel/ raw/ bulb,0,1.24,7.3,3.93,0,3.1,0.2,31
Egg/ dried/ whole,0,48.05,1.13,0.56,1630,0,44,592
